onlyID	kingdom	phylum	class	order	family	genus	species
07513	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter okinawensis
07514	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Asaia	Asaia prunellae
07515	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella aurantiaca
07516	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella dentasini
07517	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Asaia	Asaia platycodi
07518	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella marina
07519	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Bacillus_AT	Bacillus_AT mannanilyticus
07520	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella	Sneathiella glossodoripedis
07521	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus	Methylobacillus glycogenes
07522	Bacteria	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Bacillus_L	Bacillus_L wakoensis
07523	Bacteria	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Bacillus_L	Bacillus_L hemicellulosilyticus
07524	Bacteria	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Bacillus_L	Bacillus_L akibai
07525	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp001315105
07526	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus pini
07527	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	Marinifilum fragile
07528	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Geofilum	Geofilum rubicundum
07529	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Nitrososphaera gargensis
07530	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	Fulvivirga imtechensis
07531	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Caenispirillum	Caenispirillum salinarum
07532	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	Leucobacter salsicius
07533	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas jeotgali
07534	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Pasteurella	Pasteurella felis
07535	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
07536	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
07537	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloquadratum	Haloquadratum sp000416005
07538	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Mariniradius	Mariniradius saccharolyticus
07539	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_B	Leptospira_B sp000347035
07540	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C	Paenibacillus_C gorillae
07541	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-1321	Bacillus_BN	Bacillus_BN massiliogorillae
07542	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia faecimaris
07543	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borreliella	Borreliella chilensis
07544	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfamplus	Desulfamplus magnetovallimortis
07545	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Mycoplasmopsis_A	Mycoplasmopsis_A cynos
07546	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	Actinoplanes	Actinoplanes friuliensis
07547	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas abyssi
